Indicator,S.No.,Parameters,Type,SubDistrict-_South-Total [(A+B) or (C+D)],SubDistrict-_South-Public [A],SubDistrict-_South-Private [B],SubDistrict-_South-Urban [C],SubDistrict-_South-Rural [D],SubDistrict-Autonomous-Total [(A+B) or (C+D)],SubDistrict-Autonomous-Public [A],SubDistrict-Autonomous-Private [B],SubDistrict-Autonomous-Urban [C],SubDistrict-Autonomous-Rural [D],SubDistrict-CGHS-Total [(A+B) or (C+D)],SubDistrict-CGHS-Public [A],SubDistrict-CGHS-Private [B],SubDistrict-CGHS-Urban [C],SubDistrict-CGHS-Rural [D],SubDistrict-Delhi Govt-Total [(A+B) or (C+D)],SubDistrict-Delhi Govt-Public [A],SubDistrict-Delhi Govt-Private [B],SubDistrict-Delhi Govt-Urban [C],SubDistrict-Delhi Govt-Rural [D],SubDistrict-ESI-Total [(A+B) or (C+D)],SubDistrict-ESI-Public [A],SubDistrict-ESI-Private [B],SubDistrict-ESI-Urban [C],SubDistrict-ESI-Rural [D],SubDistrict-IPP VIII-MCD-Total [(A+B) or (C+D)],SubDistrict-IPP VIII-MCD-Public [A],SubDistrict-IPP VIII-MCD-Private [B],SubDistrict-IPP VIII-MCD-Urban [C],SubDistrict-IPP VIII-MCD-Rural [D],SubDistrict-MCW Centres MCD-Total [(A+B) or (C+D)],SubDistrict-MCW Centres MCD-Public [A],SubDistrict-MCW Centres MCD-Private [B],SubDistrict-MCW Centres MCD-Urban [C],SubDistrict-MCW Centres MCD-Rural [D],SubDistrict-Private-Total [(A+B) or (C+D)],SubDistrict-Private-Public [A],SubDistrict-Private-Private [B],SubDistrict-Private-Urban [C],SubDistrict-Private-Rural [D],Month
M8 [Family Planning],8.17.4,Failures following female sterilization,TOTAL,1,1,0,0,1,1,1,NA,NA,1,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M8 [Family Planning],8.17.5,Deaths following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M8 [Family Planning],8.17.6,Deaths following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M9 [CHILD IMMUNISATION],9.1.1,Child immunisation - Vitamin K1 (Birth Dose),TOTAL,508,340,168,168,340,NA,NA,NA,NA,NA,0,0,NA,0,NA,340,340,NA,0,340,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,168,NA,168,168,0,January
M9 [CHILD IMMUNISATION],9.1.2,Child immunisation - BCG,TOTAL,1000,832,168,327,673,221,221,NA,NA,221,0,0,NA,0,NA,479,479,NA,84,395,0,0,NA,0,NA,31,31,NA,31,NA,101,101,NA,52,49,168,NA,168,160,8,January
M9 [CHILD IMMUNISATION],9.1.3,Child immunisation - DPT1,TOTAL,130,32,98,129,1,1,1,NA,NA,1,0,0,NA,0,NA,9,9,NA,9,0,12,12,NA,12,NA,2,2,NA,2,NA,8,8,NA,8,0,98,NA,98,98,0,January
M9 [CHILD IMMUNISATION],9.1.4,Child immunisation - DPT2,TOTAL,73,29,44,72,1,1,1,NA,NA,1,3,3,NA,3,NA,7,7,NA,7,0,14,14,NA,14,NA,0,0,NA,0,NA,4,4,NA,4,0,44,NA,44,44,0,January
M9 [CHILD IMMUNISATION],9.1.5,Child immunisation - DPT3,TOTAL,67,31,36,65,2,2,2,NA,NA,2,0,0,NA,0,NA,10,10,NA,10,0,12,12,NA,12,NA,0,0,NA,0,NA,7,7,NA,7,0,36,NA,36,36,0,January
M9 [CHILD IMMUNISATION],9.1.6,Child immunisation - Pentavalent 1,TOTAL,1689,1601,88,1258,431,138,138,NA,NA,138,12,12,NA,12,NA,838,838,NA,726,112,11,11,NA,11,NA,93,93,NA,93,NA,509,509,NA,328,181,88,NA,88,88,0,January
M9 [CHILD IMMUNISATION],9.1.7,Child immunisation - Pentavalent 2,TOTAL,1847,1791,56,1502,345,85,85,NA,NA,85,20,20,NA,20,NA,945,945,NA,831,114,4,4,NA,4,NA,103,103,NA,103,NA,634,634,NA,488,146,56,NA,56,56,0,January
M9 [CHILD IMMUNISATION],9.1.8,Child immunisation - Pentavalent 3,TOTAL,1858,1798,60,1494,364,98,98,NA,NA,98,16,16,NA,16,NA,963,963,NA,850,113,8,8,NA,8,NA,86,86,NA,86,NA,627,627,NA,474,153,60,NA,60,60,0,January
M9 [CHILD IMMUNISATION],9.1.9,Child immunisation - OPV 0 (Birth Dose),TOTAL,865,695,170,219,646,220,220,NA,NA,220,0,0,NA,0,NA,418,418,NA,23,395,0,0,NA,0,NA,21,21,NA,21,NA,36,36,NA,13,23,170,NA,170,162,8,January
M9 [CHILD IMMUNISATION],9.1.10,Child immunisation - OPV1,TOTAL,1706,1620,86,1274,432,139,139,NA,NA,139,12,12,NA,12,NA,853,853,NA,741,112,10,10,NA,10,NA,95,95,NA,95,NA,511,511,NA,330,181,86,NA,86,86,0,January
M9 [CHILD IMMUNISATION],9.1.11,Child immunisation - OPV2,TOTAL,1870,1810,60,1524,346,86,86,NA,NA,86,20,20,NA,20,NA,952,952,NA,838,114,13,13,NA,13,NA,103,103,NA,103,NA,636,636,NA,490,146,60,NA,60,60,0,January
M9 [CHILD IMMUNISATION],9.1.12,Child immunisation - OPV3,TOTAL,1882,1831,51,1516,366,100,100,NA,NA,100,16,16,NA,16,NA,973,973,NA,860,113,21,21,NA,21,NA,86,86,NA,86,NA,635,635,NA,482,153,51,NA,51,51,0,January
M9 [CHILD IMMUNISATION],9.1.13,Child immunisation - Hepatitis-B0 (Birth Dose),TOTAL,798,638,160,203,595,220,220,NA,NA,220,0,0,NA,0,NA,371,371,NA,22,349,0,0,NA,0,NA,16,16,NA,16,NA,31,31,NA,13,18,160,NA,160,152,8,January
M9 [CHILD IMMUNISATION],9.1.14,Child immunisation - Hepatitis-B1,TOTAL,75,28,47,58,17,17,17,NA,NA,17,0,0,NA,0,NA,0,0,NA,0,0,11,11,NA,11,NA,0,0,NA,0,NA,0,0,NA,0,0,47,NA,47,47,0,January
M9 [CHILD IMMUNISATION],9.1.15,Child immunisation - Hepatitis-B2,TOTAL,51,11,40,47,4,4,4,NA,NA,4,0,0,NA,0,NA,0,0,NA,0,0,7,7,NA,7,NA,0,0,NA,0,NA,0,0,NA,0,0,40,NA,40,40,0,January
M9 [CHILD IMMUNISATION],9.1.16,Child immunisation - Hepatitis-B3,TOTAL,50,9,41,44,6,6,6,NA,NA,6,0,0,NA,0,NA,0,0,NA,0,0,3,3,NA,3,NA,0,0,NA,0,NA,0,0,NA,0,0,41,NA,41,41,0,January
M9 [CHILD IMMUNISATION],9.1.17,Child immunisation - Inactivated Polio Vaccine 1 (IPV 1),TOTAL,1659,1640,19,1236,423,140,140,NA,NA,140,0,0,NA,0,NA,870,870,NA,768,102,27,27,NA,27,NA,93,93,NA,93,NA,510,510,NA,329,181,19,NA,19,19,0,January
M9 [CHILD IMMUNISATION],9.1.18,Child immunisation - Inactivated Polio Vaccine 2 (IPV 2),TOTAL,1710,1697,13,1385,325,93,93,NA,NA,93,0,0,NA,0,NA,944,944,NA,843,101,11,11,NA,11,NA,86,86,NA,86,NA,563,563,NA,432,131,13,NA,13,13,0,January
M9 [CHILD IMMUNISATION],9.1.19,Child immunisation - Rotavirus 1,TOTAL,79,0,79,79,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,NA,79,NA,79,79,0,January
M9 [CHILD IMMUNISATION],9.1.20,Child immunisation - Rotavirus 2,TOTAL,54,0,54,54,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,NA,54,NA,54,54,0,January
M9 [CHILD IMMUNISATION],9.1.21,Child immunisation - Rotavirus 3,TOTAL,29,0,29,29,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,NA,29,NA,29,29,0,January
M9 [CHILD IMMUNISATION],9.2.1,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,64,48,16,18,46,46,46,NA,NA,46,0,0,NA,0,NA,2,2,NA,2,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,16,NA,16,16,0,January
M9 [CHILD IMMUNISATION],9.2.2,Child immunisation (9-11months) - Measles 1st dose,TOTAL,1367,1347,20,1146,221,12,12,NA,NA,12,14,14,NA,14,NA,738,738,NA,642,96,6,6,NA,6,NA,76,76,NA,76,NA,501,501,NA,388,113,20,NA,20,20,0,January
M9 [CHILD IMMUNISATION],9.2.3,Child immunisation (9-11months) - JE 1st dose,TOTAL,4,3,1,4,0,0,0,NA,NA,0,3,3,NA,3,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,1,NA,1,1,0,January
M9 [CHILD IMMUNISATION],9.2.4.a,Children aged between 9 and 11 months fully immunized- Male,TOTAL,718,650,68,599,119,2,2,NA,NA,2,14,14,NA,14,NA,342,342,NA,292,50,NA,NA,NA,NA,NA,21,21,NA,21,NA,271,271,NA,204,67,68,NA,68,68,0,January
M9 [CHILD IMMUNISATION],9.2.4.b,Children aged between 9 and 11 months fully immunized - Female,TOTAL,639,600,39,539,100,10,10,NA,NA,10,5,5,NA,5,NA,339,339,NA,293,46,NA,NA,NA,NA,NA,20,20,NA,20,NA,226,226,NA,182,44,39,NA,39,39,0,January
M9 [CHILD IMMUNISATION],9.3.1,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,4,0,4,4,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,4,NA,4,4,0,January
M9 [CHILD IMMUNISATION],9.3.2,Child immunisation - Measles-1st dose,TOTAL,109,104,5,63,46,46,46,NA,NA,46,0,0,NA,0,NA,38,38,NA,38,0,8,8,NA,8,NA,2,2,NA,2,NA,10,10,NA,10,0,5,NA,5,5,0,January
M9 [CHILD IMMUNISATION],9.3.3,Child immunisation - JE 1st dose,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,January
M9 [CHILD IMMUNISATION],9.4.1,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,32,32,0,32,0,0,0,NA,NA,0,0,0,NA,0,NA,32,32,NA,32,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,January
M9 [CHILD IMMUNISATION],9.4.2,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,1641,1641,0,1498,143,19,19,NA,NA,19,3,3,NA,3,NA,914,914,NA,914,0,8,8,NA,8,NA,86,86,NA,86,NA,611,611,NA,487,124,0,NA,0,0,0,January
M9 [CHILD IMMUNISATION],9.4.3,Child immunisation - DPT 1st Booster,TOTAL,2007,1969,38,1672,335,86,86,NA,NA,86,25,25,NA,25,NA,1043,1043,NA,950,93,35,35,NA,35,NA,83,83,NA,83,NA,697,697,NA,541,156,38,NA,38,38,0,January
M9 [CHILD IMMUNISATION],9.4.4,Child immunisation - OPV Booster,TOTAL,2042,2004,38,1665,377,128,128,NA,NA,128,23,23,NA,23,NA,1029,1029,NA,936,93,44,44,NA,44,NA,83,83,NA,83,NA,697,697,NA,541,156,38,NA,38,38,0,January
M9 [CHILD IMMUNISATION],9.4.5,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,242,143,99,131,111,70,70,NA,NA,70,1,1,NA,1,NA,33,33,NA,14,19,0,0,NA,0,NA,0,0,NA,0,NA,39,39,NA,17,22,99,NA,99,99,0,January
M9 [CHILD IMMUNISATION],9.4.6,Number of children more than 16 months of age who received Japanese Encephalitis (JE) vaccine,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,January
M9 [CHILD IMMUNISATION],9.5.1,Child immunisation - Typhoid,TOTAL,3313,3188,125,2559,754,181,181,NA,NA,181,29,29,NA,29,NA,1532,1532,NA,1289,243,23,23,NA,23,NA,97,97,NA,97,NA,1326,1326,NA,996,330,125,NA,125,125,0,January
M9 [CHILD IMMUNISATION],9.5.2,Children more than 5 years received DPT5 (2nd Booster),TOTAL,1356,1304,52,1089,267,83,83,NA,NA,83,30,30,NA,30,NA,641,641,NA,585,56,6,6,NA,6,NA,62,62,NA,62,NA,482,482,NA,354,128,52,NA,52,52,0,January
M9 [CHILD IMMUNISATION],9.5.3,Children more than 10 years received TT10,TOTAL,425,397,28,348,77,37,37,NA,NA,37,19,19,NA,19,NA,195,195,NA,169,26,5,5,NA,5,NA,18,18,NA,18,NA,123,123,NA,109,14,28,NA,28,28,0,January
M9 [CHILD IMMUNISATION],9.5.4,Children more than 16 years received TT16,TOTAL,152,132,20,132,20,4,4,NA,NA,4,17,17,NA,17,NA,61,61,NA,46,15,5,5,NA,5,NA,28,28,NA,28,NA,17,17,NA,16,1,20,NA,20,20,0,January
M9 [CHILD IMMUNISATION],9.6.1,Number of cases of AEFI - Abscess,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,January
M9 [CHILD IMMUNISATION],9.6.2,Number of cases of AEFI - Death,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,January
M9 [CHILD IMMUNISATION],9.6.3,Number of cases of AEFI - Others,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,January
M9 [CHILD IMMUNISATION],9.7.1,Immunisation sessions planned,TOTAL,681,671,10,553,128,8,8,NA,NA,8,31,31,NA,31,NA,290,290,NA,264,26,9,9,NA,9,NA,46,46,NA,46,NA,287,287,NA,193,94,10,NA,10,10,0,January
M9 [CHILD IMMUNISATION],9.7.2,Immunisation sessions held,TOTAL,627,618,9,544,83,8,8,NA,NA,8,28,28,NA,28,NA,287,287,NA,261,26,8,8,NA,8,NA,46,46,NA,46,NA,241,241,NA,192,49,9,NA,9,9,0,January
M9 [CHILD IMMUNISATION],9.7.3,Number of Immunisation sessions where ASHAs were present,TOTAL,332,332,0,312,20,NA,NA,NA,NA,NA,0,0,NA,0,NA,192,192,NA,192,0,NA,NA,NA,NA,NA,33,33,NA,33,NA,107,107,NA,87,20,0,NA,0,0,0,January
M9 [CHILD IMMUNISATION],9.8.1,Child immunisation - Vitamin A Dose - 1,TOTAL,1382,1370,12,1183,199,61,61,NA,NA,61,20,20,NA,20,NA,751,751,NA,655,96,4,4,NA,4,NA,77,77,NA,77,NA,457,457,NA,415,42,12,NA,12,12,0,January
M9 [CHILD IMMUNISATION],9.8.2,Child immunisation - Vitamin A Dose - 5,TOTAL,1556,1556,0,1142,414,109,109,NA,NA,109,29,29,NA,29,NA,545,545,NA,249,296,3,3,NA,3,NA,50,50,NA,50,NA,820,820,NA,811,9,0,NA,0,0,0,January
M9 [CHILD IMMUNISATION],9.8.3,Child immunisation - Vitamin A Dose - 9,TOTAL,696,696,0,451,245,80,80,NA,NA,80,27,27,NA,27,NA,433,433,NA,268,165,4,4,NA,4,NA,11,11,NA,11,NA,141,141,NA,141,0,0,NA,0,0,0,January
M9 [CHILD IMMUNISATION],9.9,Number of children (6-59 months) provided 8-10 doses (1ml) of IFA syrup (Bi weekly),TOTAL,3,0,3,3,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,3,NA,3,3,NA,January
M9 [CHILD IMMUNISATION],9.1,Number of children (12-59 months) provided Albendazole,TOTAL,440,440,0,40,400,NA,NA,NA,NA,NA,0,0,NA,0,NA,426,426,NA,26,400,0,0,NA,0,NA,NA,NA,NA,NA,NA,14,14,NA,14,NA,0,NA,0,0,NA,January
M9 [CHILD IMMUNISATION],9.11,Number of severely underweight children provided Health Checkup (0-5 yrs),TOTAL,56,56,0,2,54,54,54,NA,NA,54,0,0,NA,0,NA,0,0,NA,0,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,0,January
M10 [Number of cases of Childhood Diseases (0-5 years)],10.1,Childhood Diseases - Pneumonia,TOTAL,31,0,31,26,5,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,31,26,5,January
M10 [Number of cases of Childhood Diseases (0-5 years)],10.2,Childhood Diseases - Asthma,TOTAL,47,0,47,47,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,47,47,0,January
M10 [Number of cases of Childhood Diseases (0-5 years)],10.3,Childhood Diseases - Sepsis,TOTAL,10,8,2,2,8,NA,NA,NA,NA,NA,0,0,NA,0,NA,8,8,NA,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,0,January
M10 [Number of cases of Childhood Diseases (0-5 years)],10.4,Childhood Diseases - Diphtheria,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M10 [Number of cases of Childhood Diseases (0-5 years)],10.5,Childhood Diseases - Pertussis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M10 [Number of cases of Childhood Diseases (0-5 years)],10.6,Childhood Diseases - Tetanus Neonatorum,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M10 [Number of cases of Childhood Diseases (0-5 years)],10.7,Childhood Diseases - Tuberculosis (TB),TOTAL,1,0,1,1,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,0,January
M10 [Number of cases of Childhood Diseases (0-5 years)],10.8,Childhood Diseases - Acute Flaccid Paralysis(AFP),TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M10 [Number of cases of Childhood Diseases (0-5 years)],10.9,Childhood Diseases - Measles,TOTAL,1,0,1,1,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,0,January
M10 [Number of cases of Childhood Diseases (0-5 years)],10.1,Childhood Diseases - Malaria,TOTAL,1,1,0,0,1,NA,NA,NA,NA,NA,0,0,NA,0,NA,1,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M10 [Number of cases of Childhood Diseases (0-5 years)],10.11,Childhood Diseases - Diarrhoea,TOTAL,467,397,70,138,329,8,8,NA,NA,8,0,0,NA,0,NA,381,381,NA,68,313,NA,NA,NA,NA,NA,0,0,NA,0,NA,8,8,NA,NA,8,70,NA,70,70,0,January
M10 [Number of cases of Childhood Diseases (0-5 years)],10.12,Childhood Diseases - Diarrhoea treated in Inpatients,TOTAL,25,11,14,14,11,NA,NA,NA,NA,NA,0,0,NA,0,NA,11,11,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,14,14,0,January
M10 [Number of cases of Childhood Diseases (0-5 years)],10.13,Children admitted with upper respiratory infections,TOTAL,24,1,23,16,8,NA,NA,NA,NA,NA,0,0,NA,0,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,23,16,7,January
M10 [Number of cases of Childhood Diseases (0-5 years)],10.14,Childhood Diseases - Severe Acute Malnutrition (SAM),TOTAL,2,2,0,0,2,2,2,NA,NA,2,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M11 [NVBDCP],11.1.1.a,Total Blood Smears Examined for Malaria,TOTAL,737,53,684,464,273,NA,NA,NA,NA,NA,0,0,NA,0,NA,53,53,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,684,NA,684,411,273,January
M11 [NVBDCP],11.1.1.b,Malaria (Microscopy Tests ) - Plasmodium Vivax test positive,TOTAL,12,0,12,12,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,12,12,0,January
M11 [NVBDCP],11.1.1.c,Malaria (Microscopy Tests ) - Plasmodium Falciparum test positive,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M11 [NVBDCP],11.1.2.a,RDT conducted for Malaria,TOTAL,26,9,17,17,9,9,9,NA,NA,9,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,17,17,0,January
M11 [NVBDCP],11.1.2.b,Malaria (RDT) - Plasmodium Vivax test positive,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M11 [NVBDCP],11.1.2.c,Malaria (RDT) - Plamodium Falciparum test positive,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M11 [NVBDCP],11.2.1,Kala Azar (RDT) - Tests Conducted,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M11 [NVBDCP],11.2.2,Kala Azar Positive Cases,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M11 [NVBDCP],11.2.3,Post-kala-azar dermal leishmaniasis (PKDL) cases,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M11 [NVBDCP],11.3.1,Dengue - RDT Test Positive,TOTAL,578,0,578,578,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,578,NA,578,578,0,January
M11 [NVBDCP],11.3.2,Dengue - Enzyme- Linked Immuno Sorbent Assay (ELISA) Test Positive,TOTAL,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,January
M11 [NVBDCP],11.4.1,Tests Conducted for JE,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M11 [NVBDCP],11.4.2,Tests Positive for JE,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January
M12 [Adolscent Health],12.1.1.a,Girls registered in AFHC,TOTAL,51,51,0,4,47,NA,NA,NA,NA,NA,0,0,NA,0,NA,51,51,NA,4,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,January
M12 [Adolscent Health],12.1.1.b,Boys registered in AFHC,TOTAL,3,3,0,3,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,3,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,January
M12 [Adolscent Health],12.1.2.a,"Out of registered, Girls received clinical services",TOTAL,20,20,0,4,16,NA,NA,NA,NA,NA,0,0,NA,0,NA,20,20,NA,4,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,January
M12 [Adolscent Health],12.1.2.b,"Out of registered, Boys received clinical services",TOTAL,3,3,0,3,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,3,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,January
M12 [Adolscent Health],12.1.3.a,"Out of registered, Girls received counselling",TOTAL,47,47,0,0,47,NA,NA,NA,NA,NA,0,0,NA,0,NA,47,47,NA,0,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,January
M12 [Adolscent Health],12.1.3.b,"Out of registered, Boys received counselling",TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,January
"M13 [Directly Observed Treatment, Short-course (DOTS)]",13.1,Number of on-going DOTS patients registered,TOTAL,394,394,0,368,26,NA,NA,NA,NA,NA,0,0,NA,0,NA,394,394,NA,368,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,January
