Indicator,S.No.,Parameters,Type,SubDistrict-_South-Total [(A+B) or (C+D)],SubDistrict-_South-Public [A],SubDistrict-_South-Private [B],SubDistrict-_South-Urban [C],SubDistrict-_South-Rural [D],SubDistrict-Autonomous-Total [(A+B) or (C+D)],SubDistrict-Autonomous-Public [A],SubDistrict-Autonomous-Private [B],SubDistrict-Autonomous-Urban [C],SubDistrict-Autonomous-Rural [D],SubDistrict-CGHS-Total [(A+B) or (C+D)],SubDistrict-CGHS-Public [A],SubDistrict-CGHS-Private [B],SubDistrict-CGHS-Urban [C],SubDistrict-CGHS-Rural [D],SubDistrict-Delhi Govt-Total [(A+B) or (C+D)],SubDistrict-Delhi Govt-Public [A],SubDistrict-Delhi Govt-Private [B],SubDistrict-Delhi Govt-Urban [C],SubDistrict-Delhi Govt-Rural [D],SubDistrict-ESI-Total [(A+B) or (C+D)],SubDistrict-ESI-Public [A],SubDistrict-ESI-Private [B],SubDistrict-ESI-Urban [C],SubDistrict-ESI-Rural [D],SubDistrict-IPP VIII-MCD-Total [(A+B) or (C+D)],SubDistrict-IPP VIII-MCD-Public [A],SubDistrict-IPP VIII-MCD-Private [B],SubDistrict-IPP VIII-MCD-Urban [C],SubDistrict-IPP VIII-MCD-Rural [D],SubDistrict-MCW Centres MCD-Total [(A+B) or (C+D)],SubDistrict-MCW Centres MCD-Public [A],SubDistrict-MCW Centres MCD-Private [B],SubDistrict-MCW Centres MCD-Urban [C],SubDistrict-MCW Centres MCD-Rural [D],SubDistrict-Private-Total [(A+B) or (C+D)],SubDistrict-Private-Public [A],SubDistrict-Private-Private [B],SubDistrict-Private-Urban [C],SubDistrict-Private-Rural [D],Month,Year
M8 [Family Planning],8.17.1,Complications following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January,2018
M8 [Family Planning],8.17.2,Complications following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January,2018
M8 [Family Planning],8.17.3,Failures following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January,2018
M8 [Family Planning],8.17.4,Failures following female sterilization,TOTAL,1,1,0,0,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January,2018
M8 [Family Planning],8.17.5,Deaths following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January,2018
M8 [Family Planning],8.17.6,Deaths following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January,2018
M9 [CHILD IMMUNISATION],9.1.1,Child immunisation - Vitamin K1 (Birth Dose),TOTAL,898,437,461,348,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,437,437,NA,NA,437,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,461,NA,461,348,113,January,2018
M9 [CHILD IMMUNISATION],9.1.2,Child immunisation - BCG,TOTAL,1304,795,509,490,814,207,207,NA,NA,207,0,0,NA,0,NA,489,489,NA,52,437,0,0,NA,0,NA,15,15,NA,15,NA,84,84,NA,41,43,509,NA,509,382,127,January,2018
M9 [CHILD IMMUNISATION],9.1.3,Child immunisation - DPT1,TOTAL,114,7,107,101,13,0,0,NA,NA,0,2,2,NA,2,NA,2,2,NA,1,1,0,0,NA,0,NA,0,0,NA,0,NA,3,3,NA,2,1,107,NA,107,96,11,January,2018
M9 [CHILD IMMUNISATION],9.1.4,Child immunisation - DPT2,TOTAL,91,3,88,82,9,0,0,NA,NA,0,1,1,NA,1,NA,1,1,NA,1,0,0,0,NA,0,NA,0,0,NA,0,NA,1,1,NA,1,0,88,NA,88,79,9,January,2018
M9 [CHILD IMMUNISATION],9.1.5,Child immunisation - DPT3,TOTAL,61,3,58,55,6,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,3,3,NA,3,NA,0,0,NA,0,NA,0,0,NA,0,0,58,NA,58,52,6,January,2018
M9 [CHILD IMMUNISATION],9.1.6,Child immunisation - Pentavalent 1,TOTAL,1704,1550,154,1151,553,150,150,NA,NA,150,25,25,NA,25,NA,750,750,NA,571,179,5,5,NA,5,NA,82,82,NA,82,NA,538,538,NA,338,200,154,NA,154,130,24,January,2018
M9 [CHILD IMMUNISATION],9.1.7,Child immunisation - Pentavalent 2,TOTAL,1616,1481,135,1143,473,89,89,NA,NA,89,24,24,NA,24,NA,777,777,NA,602,175,3,3,NA,3,NA,70,70,NA,70,NA,518,518,NA,340,178,135,NA,135,104,31,January,2018
M9 [CHILD IMMUNISATION],9.1.8,Child immunisation - Pentavalent 3,TOTAL,1483,1400,83,1085,398,81,81,NA,NA,81,25,25,NA,25,NA,649,649,NA,545,104,8,8,NA,8,NA,77,77,NA,77,NA,560,560,NA,361,199,83,NA,83,69,14,January,2018
M9 [CHILD IMMUNISATION],9.1.9,Child immunisation - OPV 0 (Birth Dose),TOTAL,1171,687,484,380,791,207,207,NA,NA,207,0,0,NA,0,NA,442,442,NA,5,437,0,0,NA,0,NA,9,9,NA,9,NA,29,29,NA,9,20,484,NA,484,357,127,January,2018
M9 [CHILD IMMUNISATION],9.1.10,Child immunisation - OPV1,TOTAL,1663,1555,108,1121,542,150,150,NA,NA,150,25,25,NA,25,NA,752,752,NA,572,180,5,5,NA,5,NA,82,82,NA,82,NA,541,541,NA,340,201,108,NA,108,97,11,January,2018
M9 [CHILD IMMUNISATION],9.1.11,Child immunisation - OPV2,TOTAL,1571,1483,88,1120,451,89,89,NA,NA,89,24,24,NA,24,NA,778,778,NA,603,175,3,3,NA,3,NA,70,70,NA,70,NA,519,519,NA,341,178,88,NA,88,79,9,January,2018
M9 [CHILD IMMUNISATION],9.1.12,Child immunisation - OPV3,TOTAL,1478,1399,79,1088,390,81,81,NA,NA,81,25,25,NA,25,NA,649,649,NA,545,104,7,7,NA,7,NA,77,77,NA,77,NA,560,560,NA,361,199,79,NA,79,73,6,January,2018
M9 [CHILD IMMUNISATION],9.1.13,Child immunisation - Hepatitis-B0 (Birth Dose),TOTAL,909,549,360,359,550,207,207,NA,NA,207,0,0,NA,0,NA,321,321,NA,3,318,0,0,NA,0,NA,5,5,NA,5,NA,16,16,NA,5,11,360,NA,360,346,14,January,2018
M9 [CHILD IMMUNISATION],9.1.14,Child immunisation - Hepatitis-B1,TOTAL,98,0,98,98,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,98,NA,98,98,0,January,2018
M9 [CHILD IMMUNISATION],9.1.15,Child immunisation - Hepatitis-B2,TOTAL,53,0,53,53,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,53,NA,53,53,0,January,2018
M9 [CHILD IMMUNISATION],9.1.16,Child immunisation - Hepatitis-B3,TOTAL,49,1,48,47,2,0,0,NA,NA,0,0,0,NA,0,NA,1,1,NA,0,1,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,48,NA,48,47,1,January,2018
M9 [CHILD IMMUNISATION],9.1.17,Child immunisation - Inactivated Polio Vaccine 1 (IPV 1),TOTAL,1628,1544,84,1075,553,149,149,NA,NA,149,19,19,NA,19,NA,745,745,NA,565,180,12,12,NA,12,NA,82,82,NA,82,NA,537,537,NA,337,200,84,NA,84,60,24,January,2018
M9 [CHILD IMMUNISATION],9.1.18,Child immunisation - Inactivated Polio Vaccine 2 (IPV 2),TOTAL,1500,1386,114,1095,405,83,83,NA,NA,83,21,21,NA,21,NA,647,647,NA,552,95,9,9,NA,9,NA,77,77,NA,77,NA,549,549,NA,353,196,114,NA,114,83,31,January,2018
M9 [CHILD IMMUNISATION],9.1.19,Child immunisation - Rotavirus 1,TOTAL,138,0,138,108,30,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,138,NA,138,108,30,January,2018
M9 [CHILD IMMUNISATION],9.1.20,Child immunisation - Rotavirus 2,TOTAL,144,0,144,107,37,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,144,NA,144,107,37,January,2018
M9 [CHILD IMMUNISATION],9.1.21,Child immunisation - Rotavirus 3,TOTAL,85,0,85,65,20,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,85,NA,85,65,20,January,2018
M9 [CHILD IMMUNISATION],9.2.1,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,916,863,53,583,333,77,77,NA,NA,77,24,24,NA,24,NA,428,428,NA,326,102,4,4,NA,4,NA,25,25,NA,25,NA,305,305,NA,151,154,53,NA,53,53,0,January,2018
M9 [CHILD IMMUNISATION],9.2.2,Child immunisation (9-11months) - Measles 1st dose,TOTAL,20,10,10,20,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,10,10,NA,10,NA,0,0,NA,0,NA,0,0,NA,0,NA,10,NA,10,10,0,January,2018
M9 [CHILD IMMUNISATION],9.2.3,Child immunisation (9-11months) - JE 1st dose,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January,2018
M9 [CHILD IMMUNISATION],9.2.4.a,Children aged between 9 and 11 months fully immunized- Male,TOTAL,432,418,14,292,140,9,9,NA,NA,9,14,14,NA,14,NA,222,222,NA,165,57,11,11,NA,11,NA,18,18,NA,18,NA,144,144,NA,70,74,14,NA,14,14,0,January,2018
M9 [CHILD IMMUNISATION],9.2.4.b,Children aged between 9 and 11 months fully immunized - Female,TOTAL,402,388,14,261,141,16,16,NA,NA,16,8,8,NA,8,NA,206,206,NA,161,45,3,3,NA,3,NA,7,7,NA,7,NA,148,148,NA,68,80,14,NA,14,14,0,January,2018
M9 [CHILD IMMUNISATION],9.3.1,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,28,16,12,23,5,0,0,NA,NA,0,1,1,NA,1,NA,4,4,NA,4,0,0,0,NA,0,NA,0,0,NA,0,NA,11,11,NA,6,5,12,NA,12,12,0,January,2018
M9 [CHILD IMMUNISATION],9.3.2,Child immunisation - Measles-1st dose,TOTAL,15,1,14,10,5,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,1,1,NA,1,NA,0,0,NA,0,NA,0,0,NA,0,0,14,NA,14,9,5,January,2018
M9 [CHILD IMMUNISATION],9.3.3,Child immunisation - JE 1st dose,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,January,2018
M9 [CHILD IMMUNISATION],9.4.1,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,7,3,4,7,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,3,3,NA,3,NA,0,0,NA,0,NA,0,0,NA,0,NA,4,NA,4,4,0,January,2018
M9 [CHILD IMMUNISATION],9.4.2,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,7,0,7,7,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,NA,7,NA,7,7,0,January,2018
M9 [CHILD IMMUNISATION],9.4.3,Child immunisation - DPT 1st Booster,TOTAL,1363,1280,83,981,382,77,77,NA,NA,77,23,23,NA,23,NA,589,589,NA,490,99,7,7,NA,7,NA,59,59,NA,59,NA,525,525,NA,338,187,83,NA,83,64,19,January,2018
M9 [CHILD IMMUNISATION],9.4.4,Child immunisation - OPV Booster,TOTAL,1403,1327,76,975,428,123,123,NA,NA,123,24,24,NA,24,NA,589,589,NA,490,99,7,7,NA,7,NA,59,59,NA,59,NA,525,525,NA,338,187,76,NA,76,57,19,January,2018
M9 [CHILD IMMUNISATION],9.4.5,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,1297,1214,83,919,378,101,101,NA,NA,101,28,28,NA,28,NA,555,555,NA,459,96,10,10,NA,10,NA,57,57,NA,57,NA,463,463,NA,282,181,83,NA,83,83,0,January,2018
M9 [CHILD IMMUNISATION],9.4.6,Number of children more than 16 months of age who received Japanese Encephalitis (JE) vaccine,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January,2018
M9 [CHILD IMMUNISATION],9.5.1,Child immunisation - Typhoid,TOTAL,658,530,128,361,297,110,110,NA,NA,110,5,5,NA,5,NA,208,208,NA,117,91,12,12,NA,12,NA,26,26,NA,26,NA,169,169,NA,114,55,128,NA,128,87,41,January,2018
M9 [CHILD IMMUNISATION],9.5.2,Children more than 5 years received DPT5 (2nd Booster),TOTAL,1016,947,69,713,303,71,71,NA,NA,71,30,30,NA,30,NA,373,373,NA,328,45,7,7,NA,7,NA,47,47,NA,47,NA,419,419,NA,243,176,69,NA,69,58,11,January,2018
M9 [CHILD IMMUNISATION],9.5.3,Children more than 10 years received TT10,TOTAL,334,306,28,234,100,47,47,NA,NA,47,11,11,NA,11,NA,178,178,NA,143,35,4,4,NA,4,NA,9,9,NA,9,NA,57,57,NA,39,18,28,NA,28,28,0,January,2018
M9 [CHILD IMMUNISATION],9.5.4,Children more than 16 years received TT16,TOTAL,99,90,9,70,29,11,11,NA,NA,11,17,17,NA,17,NA,34,34,NA,19,15,14,14,NA,14,NA,9,9,NA,9,NA,5,5,NA,2,3,9,NA,9,9,0,January,2018
M9 [CHILD IMMUNISATION],9.6.1,Number of cases of AEFI - Abscess,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,0,NA,0,0,0,January,2018
M9 [CHILD IMMUNISATION],9.6.2,Number of cases of AEFI - Death,TOTAL,1,1,0,0,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,1,1,NA,0,1,0,NA,0,0,0,January,2018
M9 [CHILD IMMUNISATION],9.6.3,Number of cases of AEFI - Others,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,0,NA,0,0,0,January,2018
M9 [CHILD IMMUNISATION],9.7.1,Immunisation sessions planned,TOTAL,484,402,82,445,39,8,8,NA,NA,8,21,21,NA,21,NA,177,177,NA,177,0,5,5,NA,5,NA,35,35,NA,35,NA,156,156,NA,125,31,82,NA,82,82,0,January,2018
M9 [CHILD IMMUNISATION],9.7.2,Immunisation sessions held,TOTAL,385,353,32,346,39,8,8,NA,NA,8,19,19,NA,19,NA,132,132,NA,132,0,3,3,NA,3,NA,35,35,NA,35,NA,156,156,NA,125,31,32,NA,32,32,0,January,2018
M9 [CHILD IMMUNISATION],9.7.3,Number of Immunisation sessions where ASHAs were present,TOTAL,240,240,0,209,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,102,NA,102,0,NA,NA,NA,NA,NA,31,31,NA,31,NA,107,107,NA,76,31,0,NA,0,0,0,January,2018
M9 [CHILD IMMUNISATION],9.8.1,Child immunisation - Vitamin A Dose - 1,TOTAL,901,891,10,561,340,75,75,NA,NA,75,26,26,NA,26,NA,432,432,NA,330,102,19,19,NA,19,NA,25,25,NA,25,NA,314,314,NA,151,163,10,NA,10,10,0,January,2018
M9 [CHILD IMMUNISATION],9.8.2,Child immunisation - Vitamin A Dose - 5,TOTAL,1036,1036,0,657,379,79,79,NA,NA,79,22,22,NA,22,NA,398,398,NA,119,279,11,11,NA,11,NA,22,22,NA,22,NA,504,504,NA,483,21,0,NA,0,0,0,January,2018
M9 [CHILD IMMUNISATION],9.8.3,Child immunisation - Vitamin A Dose - 9,TOTAL,505,505,0,255,250,69,69,NA,NA,69,25,25,NA,25,NA,293,293,NA,112,181,5,5,NA,5,NA,55,55,NA,55,NA,58,58,NA,58,0,0,NA,0,0,0,January,2018
M9 [CHILD IMMUNISATION],9.9,Number of children (6-59 months) provided 8-10 doses (1ml) of IFA syrup (Bi weekly),TOTAL,2,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,2,NA,2,2,NA,January,2018
M9 [CHILD IMMUNISATION],9.1,Number of children (12-59 months) provided Albendazole,TOTAL,570,569,1,138,432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,349,NA,49,300,NA,NA,NA,NA,NA,0,0,NA,0,NA,220,220,NA,88,132,1,NA,1,1,NA,January,2018
M9 [CHILD IMMUNISATION],9.11,Number of severely underweight children provided Health Checkup (0-5 yrs),TOTAL,37,37,0,3,34,19,19,NA,NA,19,NA,NA,NA,NA,NA,0,0,NA,0,NA,3,3,NA,3,NA,0,0,NA,0,NA,15,15,NA,0,15,0,NA,0,0,0,January,2018
M10 [Number of cases of Childhood Diseases (0-5 years)],10.1,Childhood Diseases - Pneumonia,TOTAL,88,41,47,45,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,23,NA,0,23,NA,NA,NA,NA,NA,0,0,NA,0,NA,18,18,NA,NA,18,47,NA,47,45,2,January,2018
M10 [Number of cases of Childhood Diseases (0-5 years)],10.2,Childhood Diseases - Asthma,TOTAL,26,1,25,25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,1,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,25,NA,25,25,0,January,2018
M10 [Number of cases of Childhood Diseases (0-5 years)],10.3,Childhood Diseases - Sepsis,TOTAL,6,3,3,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,0,3,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,3,NA,3,0,3,January,2018
M10 [Number of cases of Childhood Diseases (0-5 years)],10.4,Childhood Diseases - Diphtheria,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January,2018
M10 [Number of cases of Childhood Diseases (0-5 years)],10.5,Childhood Diseases - Pertussis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January,2018
M10 [Number of cases of Childhood Diseases (0-5 years)],10.6,Childhood Diseases - Tetanus Neonatorum,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January,2018
M10 [Number of cases of Childhood Diseases (0-5 years)],10.7,Childhood Diseases - Tuberculosis (TB),TOTAL,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,1,NA,1,1,0,January,2018
M10 [Number of cases of Childhood Diseases (0-5 years)],10.8,Childhood Diseases - Acute Flaccid Paralysis(AFP),TOTAL,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,1,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January,2018
M10 [Number of cases of Childhood Diseases (0-5 years)],10.9,Childhood Diseases - Measles,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January,2018
M10 [Number of cases of Childhood Diseases (0-5 years)],10.1,Childhood Diseases - Malaria,TOTAL,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,1,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January,2018
M10 [Number of cases of Childhood Diseases (0-5 years)],10.11,Childhood Diseases - Diarrhoea,TOTAL,932,838,94,234,698,2,2,NA,NA,2,NA,NA,NA,NA,NA,558,558,NA,38,520,NA,NA,NA,NA,NA,0,0,NA,0,NA,278,278,NA,107,171,94,NA,94,89,5,January,2018
M10 [Number of cases of Childhood Diseases (0-5 years)],10.12,Childhood Diseases - Diarrhoea treated in Inpatients,TOTAL,34,13,21,16,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,NA,0,13,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,21,NA,21,16,5,January,2018
M10 [Number of cases of Childhood Diseases (0-5 years)],10.13,Children admitted with upper respiratory infections,TOTAL,55,0,55,48,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,55,NA,55,48,7,January,2018
M10 [Number of cases of Childhood Diseases (0-5 years)],10.14,Childhood Diseases - Severe Acute Malnutrition (SAM),TOTAL,14,14,0,1,13,2,2,NA,NA,2,NA,NA,NA,NA,NA,1,1,NA,1,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,11,11,NA,NA,11,0,NA,0,0,0,January,2018
M11 [NVBDCP],11.1.1.a,Total Blood Smears Examined for Malaria,TOTAL,487,130,357,200,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,130,NA,34,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357,NA,357,166,191,January,2018
M11 [NVBDCP],11.1.1.b,Malaria (Microscopy Tests ) - Plasmodium Vivax test positive,TOTAL,3,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,0,January,2018
M11 [NVBDCP],11.1.1.c,Malaria (Microscopy Tests ) - Plasmodium Falciparum test positive,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January,2018
M11 [NVBDCP],11.1.2.a,RDT conducted for Malaria,TOTAL,216,97,119,58,158,1,1,NA,NA,1,NA,NA,NA,NA,NA,96,96,NA,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,NA,119,58,61,January,2018
M11 [NVBDCP],11.1.2.b,Malaria (RDT) - Plasmodium Vivax test positive,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January,2018
M11 [NVBDCP],11.1.2.c,Malaria (RDT) - Plamodium Falciparum test positive,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January,2018
M11 [NVBDCP],11.2.1,Kala Azar (RDT) - Tests Conducted,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January,2018
M11 [NVBDCP],11.2.2,Kala Azar Positive Cases,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January,2018
M11 [NVBDCP],11.2.3,Post-kala-azar dermal leishmaniasis (PKDL) cases,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January,2018
M11 [NVBDCP],11.3.1,Dengue - RDT Test Positive,TOTAL,48,0,48,2,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,48,2,46,January,2018
M11 [NVBDCP],11.3.2,Dengue - Enzyme- Linked Immuno Sorbent Assay (ELISA) Test Positive,TOTAL,32,32,0,0,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January,2018
M11 [NVBDCP],11.4.1,Tests Conducted for JE,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January,2018
M11 [NVBDCP],11.4.2,Tests Positive for JE,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,January,2018
M12 [Adolscent Health],12.1.1.a,Girls registered in AFHC,TOTAL,63,63,0,10,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,46,NA,0,46,3,3,NA,3,NA,NA,NA,NA,NA,NA,14,14,NA,7,7,0,NA,0,0,0,January,2018
M12 [Adolscent Health],12.1.1.b,Boys registered in AFHC,TOTAL,12,12,0,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,2,2,NA,2,NA,NA,NA,NA,NA,NA,10,10,NA,7,3,0,NA,0,0,0,January,2018
M12 [Adolscent Health],12.1.2.a,"Out of registered, Girls received clinical services",TOTAL,41,41,0,8,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,26,NA,0,26,3,3,NA,3,NA,NA,NA,NA,NA,NA,12,12,NA,5,7,0,NA,0,0,0,January,2018
